,count,mean,std,min,25%,50%,75%,max,missing_percent
diastolic_bp_mean,67.0,68.32967306325516,12.224855903311228,43.333333333333336,60.73333333333333,66.5,75.66666666666667,102.0,32.323232323232325
heart_rate_mean,78.0,90.13288328480635,18.096924858960314,46.5,75.75,89.0,105.3125,126.0,21.21212121212121
mean_bp_mean,67.0,81.15241648898366,13.75034008495137,51.0,70.75,79.5,90.54166666666666,123.0,32.323232323232325
respiratory_rate_mean,78.0,19.87224363118028,4.649022029676014,10.0,16.664285714285715,19.375,22.33333333333333,32.0,21.21212121212121
spo2_mean,78.0,96.73812209032796,2.648764078933186,85.0,95.5,97.25,98.5,100.0,21.21212121212121
systolic_bp_mean,67.0,122.83884150675193,24.107111806614085,68.0,103.25,122.33333333333331,139.91666666666669,194.0,32.323232323232325
temperature_mean,64.0,98.50442708333334,1.0413083709192785,96.8,97.875,98.4,98.725,103.0,35.35353535353536
diastolic_bp_min,67.0,61.582089552238806,14.033670823406743,24.0,53.5,60.0,69.0,101.0,32.323232323232325
heart_rate_min,78.0,85.5,18.458623437861753,45.0,71.25,86.0,99.0,120.0,21.21212121212121
mean_bp_min,67.0,74.88059701492537,15.441504860778483,32.0,64.0,73.0,85.0,115.0,32.323232323232325
respiratory_rate_min,78.0,16.82051282051282,4.744767698509644,8.0,13.0,17.0,20.0,28.0,21.21212121212121
spo2_min,78.0,94.6923076923077,5.02540995887353,64.0,94.0,95.0,97.0,100.0,21.21212121212121
systolic_bp_min,67.0,113.98507462686567,25.73141726497092,50.0,94.5,112.0,131.0,181.0,32.323232323232325
temperature_min,64.0,98.4796875,1.042460411870619,96.8,97.875,98.4,98.725,103.0,35.35353535353536
diastolic_bp_max,67.0,76.08955223880596,15.164483369276985,46.0,64.5,73.0,84.5,126.0,32.323232323232325
heart_rate_max,78.0,95.28205128205128,18.898153167444516,48.0,81.0,94.0,110.0,144.0,21.21212121212121
mean_bp_max,67.0,88.34328358208955,15.635577378652101,51.0,78.5,86.0,95.0,131.0,32.323232323232325
respiratory_rate_max,78.0,23.564102564102566,5.988278037923244,10.0,19.0,23.0,27.75,42.0,21.21212121212121
spo2_max,78.0,98.2051282051282,2.3263536730087733,87.0,97.0,99.0,100.0,100.0,21.21212121212121
systolic_bp_max,67.0,131.7910447761194,25.07536356631371,68.0,114.0,133.0,151.0,209.0,32.323232323232325
temperature_max,64.0,98.5296875,1.044969762986258,96.8,97.875,98.4,98.8,103.0,35.35353535353536
diastolic_bp_std,60.0,8.822528125700478,8.474850446963957,0.0,3.2170868607887737,5.971113903690268,10.40702330451992,39.32344508474981,39.39393939393939
heart_rate_std,76.0,4.747163613467257,4.492221068596723,0.0,1.8756665065175704,3.523709245108493,5.854128785790439,24.347680049843014,23.232323232323232
mean_bp_std,60.0,8.039677607122648,7.428805701273214,0.0,3.7174253189711965,5.361466235724111,10.76950746617272,38.74274125562104,39.39393939393939
respiratory_rate_std,76.0,3.1391683472386136,2.4562585681688676,0.0,1.478553390593274,2.5630152951754828,3.805006691754843,14.142135623730953,23.232323232323232
spo2_std,76.0,1.7624587272869447,2.3121820167965907,0.0,0.5773502691896278,1.24152530530169,2.2359926303064004,18.0,23.232323232323232
systolic_bp_std,60.0,10.676052871207762,7.695507244694906,0.0,4.760322318517009,9.373745751949059,14.869182924524884,33.77869150810907,39.39393939393939
temperature_std,13.0,0.17305892681517246,0.16807519036080998,0.0,0.0577350269189592,0.1414213562373064,0.282842712474623,0.4949747468305752,86.86868686868688
diastolic_bp_last,67.0,65.23880597014926,14.405480388357681,36.0,56.0,62.0,71.5,103.0,32.323232323232325
heart_rate_last,78.0,88.92307692307692,18.122791298129666,45.0,73.25,89.0,102.75,132.0,21.21212121212121
mean_bp_last,67.0,78.43283582089552,14.798877804094323,51.0,67.0,78.0,86.0,115.0,32.323232323232325
respiratory_rate_last,78.0,19.256410256410255,4.958099493026595,8.0,16.25,18.5,22.0,33.0,21.21212121212121
spo2_last,78.0,96.53846153846153,3.030975616334316,83.0,95.0,97.0,99.0,100.0,21.21212121212121
systolic_bp_last,67.0,119.7910447761194,23.091738856945327,68.0,102.5,122.0,137.0,181.0,32.323232323232325
temperature_last,64.0,98.4828125,1.0391624661006487,96.8,97.875,98.4,98.725,103.0,35.35353535353536
diastolic_bp_count,67.0,2.8955223880597014,1.7592554240980625,1.0,2.0,3.0,3.0,12.0,32.323232323232325
heart_rate_count,78.0,4.205128205128205,2.6792079385809493,1.0,3.0,3.5,5.0,18.0,21.21212121212121
mean_bp_count,67.0,2.91044776119403,1.755781301384192,1.0,2.0,3.0,3.0,12.0,32.323232323232325
respiratory_rate_count,78.0,4.205128205128205,2.6401444980082,1.0,3.0,3.5,5.0,17.0,21.21212121212121
spo2_count,78.0,3.9871794871794872,2.473199671825269,1.0,3.0,3.0,4.0,17.0,21.21212121212121
systolic_bp_count,67.0,2.8955223880597014,1.7592554240980625,1.0,2.0,3.0,3.0,12.0,32.323232323232325
temperature_count,64.0,1.21875,0.4531634835874829,1.0,1.0,1.0,1.0,3.0,35.35353535353536
