,median_no_deterioration,median_deterioration
diastolic_bp_mean,66.08333333333334,67.5
heart_rate_mean,88.5,104.125
mean_bp_mean,79.58333333333334,78.0
respiratory_rate_mean,19.25,22.375
spo2_mean,97.25,97.1
systolic_bp_mean,123.0,111.5
temperature_mean,98.35,99.55
diastolic_bp_min,60.0,49.0
heart_rate_min,86.0,88.5
mean_bp_min,74.0,63.0
respiratory_rate_min,17.0,20.0
spo2_min,95.0,94.5
systolic_bp_min,113.0,102.0
temperature_min,98.35,99.55
diastolic_bp_max,72.5,86.0
heart_rate_max,93.5,113.5
mean_bp_max,86.0,93.0
respiratory_rate_max,23.0,25.5
spo2_max,99.0,98.0
systolic_bp_max,133.5,121.0
temperature_max,98.4,99.55
diastolic_bp_std,5.859465277082317,26.16295090390226
heart_rate_std,3.5118845842842483,13.608531221469214
mean_bp_std,5.215361924162119,21.213203435596427
respiratory_rate_std,2.5630152951754828,2.7623749931683323
spo2_std,1.24152530530169,1.5165750888103107
systolic_bp_std,9.192388155425116,13.435028842544405
temperature_std,0.1414213562373064,
diastolic_bp_last,62.0,49.0
heart_rate_last,89.0,88.5
mean_bp_last,78.0,63.0
respiratory_rate_last,18.5,20.0
spo2_last,97.0,94.5
systolic_bp_last,123.0,102.0
temperature_last,98.35,99.55
diastolic_bp_count,3.0,2.0
heart_rate_count,3.5,3.0
mean_bp_count,3.0,2.0
respiratory_rate_count,3.5,3.0
spo2_count,3.0,3.5
systolic_bp_count,3.0,2.0
temperature_count,1.0,1.0
