feature_1,feature_2,correlation
temperature_min,temperature_last,1.0
diastolic_bp_count,systolic_bp_count,1.0
temperature_mean,temperature_last,0.998
temperature_mean,temperature_max,0.998
diastolic_bp_count,mean_bp_count,0.998
mean_bp_count,systolic_bp_count,0.998
temperature_mean,temperature_min,0.998
heart_rate_count,respiratory_rate_count,0.995
temperature_min,temperature_max,0.991
temperature_max,temperature_last,0.991
heart_rate_mean,heart_rate_min,0.966
diastolic_bp_std,mean_bp_std,0.964
respiratory_rate_count,spo2_count,0.963
heart_rate_count,spo2_count,0.963
heart_rate_min,heart_rate_last,0.959
heart_rate_mean,heart_rate_max,0.954
heart_rate_mean,heart_rate_last,0.952
systolic_bp_mean,systolic_bp_min,0.942
systolic_bp_mean,systolic_bp_max,0.937
diastolic_bp_max,mean_bp_max,0.932
diastolic_bp_min,mean_bp_min,0.931
diastolic_bp_last,mean_bp_last,0.926
diastolic_bp_mean,mean_bp_mean,0.923
mean_bp_mean,mean_bp_min,0.909
systolic_bp_mean,systolic_bp_last,0.904
