,missing_count,missing_percent
temperature_std,86,86.87
mean_bp_std,39,39.39
diastolic_bp_std,39,39.39
systolic_bp_std,39,39.39
temperature_count,35,35.35
temperature_last,35,35.35
temperature_max,35,35.35
temperature_min,35,35.35
temperature_mean,35,35.35
diastolic_bp_mean,32,32.32
systolic_bp_count,32,32.32
diastolic_bp_count,32,32.32
mean_bp_count,32,32.32
systolic_bp_last,32,32.32
systolic_bp_mean,32,32.32
diastolic_bp_min,32,32.32
mean_bp_mean,32,32.32
mean_bp_min,32,32.32
mean_bp_last,32,32.32
diastolic_bp_last,32,32.32
mean_bp_max,32,32.32
diastolic_bp_max,32,32.32
systolic_bp_max,32,32.32
systolic_bp_min,32,32.32
heart_rate_std,23,23.23
respiratory_rate_std,23,23.23
spo2_std,23,23.23
spo2_mean,21,21.21
respiratory_rate_mean,21,21.21
heart_rate_mean,21,21.21
heart_rate_min,21,21.21
respiratory_rate_min,21,21.21
heart_rate_max,21,21.21
respiratory_rate_max,21,21.21
spo2_max,21,21.21
spo2_min,21,21.21
heart_rate_last,21,21.21
respiratory_rate_last,21,21.21
spo2_last,21,21.21
heart_rate_count,21,21.21
spo2_count,21,21.21
respiratory_rate_count,21,21.21
