feature,coefficient,absolute_coefficient
spo2_max,1.3960744194798027,1.3960744194798027
spo2_count,-1.0368551576624296,1.0368551576624296
mean_bp_max,1.026006745615269,1.026006745615269
mean_bp_std,-1.0020482121780103,1.0020482121780103
spo2_std,-0.9037214310478249,0.9037214310478249
respiratory_rate_max,0.8593458956357569,0.8593458956357569
systolic_bp_last,0.7689047342725144,0.7689047342725144
mean_bp_min,0.7643618798662303,0.7643618798662303
temperature_count,-0.7359713435386729,0.7359713435386729
systolic_bp_mean,-0.7244502724219092,0.7244502724219092
spo2_min,-0.6908727243005702,0.6908727243005702
diastolic_bp_std,-0.626108359477941,0.626108359477941
mean_bp_mean,-0.6244286269345849,0.6244286269345849
systolic_bp_min,-0.6203811929744998,0.6203811929744998
spo2_mean,-0.6032951644313912,0.6032951644313912
spo2_last,-0.6014503178143755,0.6014503178143755
diastolic_bp_last,-0.5556660045992878,0.5556660045992878
heart_rate_mean,0.5284193451801101,0.5284193451801101
respiratory_rate_std,-0.5134623020578634,0.5134623020578634
temperature_max,0.47989917793894615,0.47989917793894615
temperature_last,-0.39235880907460835,0.39235880907460835
temperature_min,-0.39235880907460835,0.39235880907460835
temperature_std,-0.36449997259721356,0.36449997259721356
diastolic_bp_mean,-0.3412350486930317,0.3412350486930317
mean_bp_last,-0.33733399081581567,0.33733399081581567
temperature_mean,-0.2724395792126816,0.2724395792126816
systolic_bp_std,0.26806760836058846,0.26806760836058846
respiratory_rate_last,-0.24711670536787297,0.24711670536787297
respiratory_rate_count,-0.23941707996599676,0.23941707996599676
diastolic_bp_max,0.23871256245696454,0.23871256245696454
diastolic_bp_min,-0.22999567926131761,0.22999567926131761
systolic_bp_count,0.22592960532293735,0.22592960532293735
diastolic_bp_count,0.22592960532293715,0.22592960532293715
heart_rate_last,-0.2146400792300149,0.2146400792300149
heart_rate_count,-0.17150667792372798,0.17150667792372798
heart_rate_min,-0.14033033645651832,0.14033033645651832
respiratory_rate_mean,-0.1323695295785649,0.1323695295785649
systolic_bp_max,0.12170723207019485,0.12170723207019485
mean_bp_count,0.12053184468245971,0.12053184468245971
respiratory_rate_min,0.11822953479427208,0.11822953479427208
heart_rate_max,-0.11110370754677076,0.11110370754677076
heart_rate_std,-0.07517266720679182,0.07517266720679182
